iso3,region,sub_region,year,population,urban_pct,urban_pop_mn,gdp_pc_ppp_const2021,gdp_ppp_bn,gdp_growth_pct,gfcf_pct_gdp,coal_prod_twh,population_imputed,urban_pct_imputed,gdp_pc_ppp_const2021_imputed,gdp_growth_pct_imputed,gfcf_pct_gdp_imputed,coal_prod_twh_imputed,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
ESP,欧州,欧州,2004,43234562.0,76.9549627547133,33.271141084263434,42793.3902326006,1850.153483201565,3.1145314799161,27.8253003573011,80.503,0,0,0,0,0,0,3370,44.6,62.3,481
ESP,欧州,欧州,2005,43958883.0,77.2206801920294,33.94534845741838,43570.7652574033,1915.3221721706566,3.5512255846125,29.0284035934931,77.06,0,0,0,0,0,0,4195,74.1,54.3,507
ESP,欧州,欧州,2006,44695446.0,77.4968648783202,34.63756939338256,44572.6815459931,1992.195881114131,4.04343515605099,30.0454936237283,72.606,0,0,0,0,0,0,7475,77.1,54.6,672
ESP,欧州,欧州,2007,45516501.0,77.7738937890987,35.399955144254044,45301.2843416374,2061.955954037423,3.53350013165972,29.8758005495847,68.21,0,0,0,0,0,0,7459,128.9,68.9,730
ESP,欧州,欧州,2008,46235055.0,78.0421438998777,36.0828281552876,44926.348951812,2077.1722147362198,0.767165748290694,27.8566240453349,50.87,0,0,0,0,0,0,6764,151.7,123.6,848
ESP,欧州,欧州,2009,46635182.0,78.2919921861701,36.511613047446204,42852.220888454,1998.4211202372542,-3.76813306940053,23.1621916327272,44.312,0,0,0,0,0,0,5339,82.9,74.5,1009
ESP,欧州,欧州,2010,46840469.0,78.5138156234888,36.77623946783742,42695.5274189933,1999.8785285080055,0.0941223116369514,21.8742137780893,38.329,0,0,0,0,0,0,7535,145.9,99.0,1225
ESP,欧州,欧州,2011,46998040.0,78.695397956495,36.98529460975271,42271.8346788238,1986.693377108748,-0.639920636520344,20.1470024048134,30.799,0,0,0,0,0,0,7950,151.1,109.4,1413
ESP,欧州,欧州,2012,47018323.0,78.8455680301618,37.07186384760621,41034.0481566356,1929.3521302262473,-2.86511368637748,18.7105922599627,28.613,0,0,0,0,0,0,7223,116.6,87.4,1515
ESP,欧州,欧州,2013,46860394.0,78.9858086902112,37.01306115631921,40594.914008768,1902.293664846988,-1.42732224757626,17.5983666974763,20.498,0,0,0,0,0,0,6681,123.3,77.0,1286
ESP,欧州,欧州,2014,46720187.0,79.1196713833488,36.964858424086046,41339.4111169417,1931.385017853395,1.52048593647231,18.0299514220621,18.932,0,0,0,0,0,0,6340,89.6,64.8,1169
ESP,欧州,欧州,2015,46683683.0,79.2454892743023,36.99471300461428,43053.761430314,2009.9081505704053,4.06086672473866,18.298942519262,14.49,0,0,0,0,0,0,5630,57.1,60.2,1186
ESP,欧州,欧州,2016,46732768.0,79.3615955277997,37.08787031910501,44274.6676149922,2069.0777699285436,2.91515598595787,18.1917189018021,7.976,0,0,0,0,0,0,5177,62.1,70.3,1328
